comment_id,episode,entity_canonical_name,extracted_as,confidence
hxi652o,2,Mrs. Selvig/Cobel,boss/white haired lady,high
hxi652o,2,Petey,Petey,high
hxib7sa,2,Mrs. Selvig/Cobel,she,high
hxib7sa,2,Mark Scout,Mark,high
hxibfwe,2,Helly R.,Helly,high
hxibsw3,2,Harmony Cobel,she,high
hxibsw3,2,Mark Scout,Mark,high
hxik3bc,2,Mark Scout,MS,high
hxj1c1c,2,Mrs. Selvig/Cobel,neighbor/boss,medium
hxj1c1c,2,Petey,Petey,high
hxj1c1c,2,Irving,Irv,high
hxj60m2,2,Mark Scout,Mark,high
hxj60m2,2,Harmony Cobel,the boss,high
hxj60m2,2,Irving,Irv,high
hxj7p1n,2,Helly R.,Servant,low
hxjih1p,2,Mark Scout,Mark,high
hxjke2v,2,Mark Scout,outtie Mark,high
hxjkpqx,2,Mark Scout,MS,high
hxjkxoe,2,Mark Scout,Mark,high
hxjl2nh,2,Mark Scout,Mark,high
hxjm3ow,2,Helly R.,Helly,high
hxjm3ow,2,Kier Eagan,Egan,high
hxjm3ow,2,Lumon Industries,the company,high
hxjn0yd,2,Pips,pip's,high
hxjnd1v,2,Mark Scout,Mark’s outie’s sister,medium
hxjnd1v,2,Pips,pips,high
hxjodqi,2,Mark Scout,Mark,high
hxjqs2l,2,Helly R.,Helly,high
hxk10pm,2,Mrs. Selvig/Cobel,her,high
hxk10pm,2,Mark Scout,he,high
hxk7hcl,2,Dylan,workers,medium
hxkqrva,2,Mark Scout,he,high
hxlh17r,2,Mark Scout,MS,high
hxljm1l,2,Mark Scout,Mark,high
hxljm1l,2,Irving,Irv,high
hxljm1l,2,Mrs. Selvig/Cobel,the boss,high
hxlq17e,2,Irving,Irv,high
hxlqls0,2,Mark Scout,MS,high
hxltgut,2,Mrs. Selvig/Cobel,she,high
hxltgut,2,Mark Scout,MS,high
hxm0le5,2,Mark Scout,MS,high
hxmj37t,2,Irving,Irv,high
hxmoyky,2,Mark Scout,MS,high
hxmsel7,2,Petey,Pete,high
hxmsel7,2,Helly R.,Helly,high
hxn7gr1,2,Mrs. Selvig/Cobel,she,high
hxn7gr1,2,Dylan,Milchik guy,medium
hxn8ui2,2,Mark Scout,MS,high
hxndxnb,2,Mark Scout,MS,high
hxnefud,2,Irving,Irv,high
hxnh1ly,2,Helly R.,the numbers,medium
hxnwf56,2,Mark Scout,him,high
hxnxtz3,2,Kier Eagan,Kiers Eeagn,high
hxnz7qf,2,Mark Scout,MS,high
hxnzq92,2,Mark Scout,MS,high
hxo2sz3,2,Mark Scout,MS,high
hxo2y2s,2,Mark Scout,MS,high
hxo61l9,2,Mrs. Selvig/Cobel,the lady,high
hxoac5c,2,Irving,Irv,high
hxoaf42,2,Helly R.,the innies,medium
hxoaf42,2,Mark Scout,the outies,high
hxoagq9,2,Harmony Cobel,she,high
hxoagq9,2,Mark Scout,Mark,high
hxoagq9,2,Petey,Petey,high
hxoagwp,2,Helly R.,Helly,high
hxoangg,2,Harmony Cobel,her,high
hxoangg,2,Mark Scout,Mark S.,high
hxoaw01,2,Mark Scout,Mark,high
hxob8y7,2,Petey,Pete,high
hxobfsv,2,Helly R.,Helly,high
hxobfsv,2,Petey,Petey,high
hxobfsv,2,Dylan,Dylan,medium
hxof5m0,2,Irving,Irv,high
hxogjqn,2,Petey,Petey,high
hxoi882,2,Harmony Cobel,she,high
hxorw6o,2,Mark Scout,MS,high
hxorw6o,2,Harmony Cobel,the boss lady,high
hxotg9n,2,Mark Scout,MS,high
hxoulb3,2,Mark Scout,Mark,high
hxoulb3,2,Mrs. Selvig/Cobel,Mrs. Sekvig,high
hxowi2s,2,Mark Scout,Mark,high
hxowi2s,2,Helly R.,Helly,high
hxoxcol,2,Mark Scout,MS,high
hxpuskb,2,Mark Scout,MS,high
hxpwxh1,2,Mark Scout,MS,high
hxpxi6a,2,Helly R.,work Peggy,high
hxpxi6a,2,Kier Eagan,outside Peggy,medium
hxq3vy5,2,Petey,un-severanceing,medium
hxqnz1d,2,Mark Scout,Mark,high
hxqsw27,2,Mark Scout,MS,high
hxqsw27,2,Harmony Cobel,she,high
hxqsw27,2,Petey,Petey,high
hxqw639,2,Petey,he,high
hxrhtf1,2,Mark Scout,MS,high
hxrm4sr,2,Mark Scout,Mark,high
