comment_id,episode,theory_id,endorsement,confidence
hxi652o,2,2,implied,medium
hxib7sa,2,1,strong,high
hxibfwe,2,3,mentioned,medium
hxibsw3,2,1,strong,high
hxj1c1c,2,1,mentioned,medium
hxj60m2,2,1,strong,high
hxj60m2,2,4,implied,medium
hxjkazj,2,4,mentioned,medium
hxjkpqx,2,4,mentioned,high
hxjl2nh,2,4,mentioned,medium
hxjm3ow,2,4,mentioned,medium
hxjnd1v,2,4,implied,medium
hxjodqi,2,4,implied,high
hxk10pm,2,1,mentioned,medium
hxk7hcl,2,4,implied,medium
hxlh17r,2,4,implied,high
hxljm1l,2,1,implied,high
hxlq17e,2,4,implied,medium
hxltgut,2,1,mentioned,high
hxm0le5,2,4,implied,medium
hxmj37t,2,4,mentioned,medium
hxmoyky,2,4,implied,medium
hxn7gr1,2,1,mentioned,high
hxn8ui2,2,4,implied,high
hxn9qss,2,1,mentioned,high
hxndxnb,2,4,implied,medium
hxnefud,2,4,implied,high
hxnh1ly,2,4,implied,medium
hxnz7qf,2,4,implied,medium
hxnzq92,2,4,implied,medium
hxo2y2s,2,4,implied,high
hxo61l9,2,4,implied,medium
hxoac5c,2,4,implied,medium
hxoaf42,2,4,strong,high
hxoagq9,2,1,strong,high
hxoangg,2,1,strong,high
hxoaqng,2,4,mentioned,medium
hxoaw01,2,4,mentioned,medium
hxob0rp,2,4,strong,high
hxob8y7,2,2,implied,medium
hxobfsv,2,4,strong,high
hxof5m0,2,4,mentioned,medium
hxoi882,2,4,implied,medium
hxorw6o,2,1,implied,medium
hxotg9n,2,4,implied,high
hxoulb3,2,1,strong|implied,high
hxowi2s,2,4,mentioned,high
hxox42p,2,1,mentioned,high
hxoxcol,2,1,mentioned,medium
hxpu69j,2,1,implied,medium
hxpuskb,2,4,strong,high
hxpwxh1,2,1,mentioned,high
hxpxi6a,2,3,strong,high
hxpxi6a,2,4,strong,high
hxqnz1d,2,3,implied,high
hxqsw27,2,1,implied,high
hxqw639,2,2,implied,medium
hxrhtf1,2,4,mentioned,medium
hxrm4sr,2,1,mentioned,medium
hxs12eh,2,1,mentioned,medium
hxs12eh,2,4,implied,medium
hxs22c0,2,4,implied,medium
hxs2jzq,2,4,strong,high
hxsajrf,2,3,implied,medium
hxsbqrd,2,1,implied,medium
hxseb9r,2,4,mentioned,medium
hxsebvg,2,4,mentioned,medium
hxsfcpl,2,4,implied,medium
hxsjfwa,2,1,implied,high
hxsjvkf,2,1,implied,medium
hxsmcqr,2,1,implied,high
hxt8a0s,2,1,implied,high
hxtcxlq,2,4,implied,medium
hxtde63,2,4,implied,medium
hxtdndk,2,2,implied,medium
hxtdthn,2,4,mentioned,high
hxte9wu,2,4,implied,medium
hxtsk0j,2,1,implied,medium
hxtt65j,2,1,mentioned,medium
hxuoixm,2,1,mentioned,medium
hxuphbs,2,1,rejected,high
hxupkvk,2,1,mentioned,medium
hxuq5k9,2,1,implied,medium
hxuqfgt,2,4,mentioned,high
hxurqt2,2,1,strong,high
hxurqt2,2,4,strong,high
hxvhu5i,2,3,implied,medium
hxvkwj4,2,4,mentioned,medium
hxvrqjz,2,4,implied,medium
hxvsiyi,2,1,implied,medium
hxvspl5,2,1,implied,high
hxvth9x,2,4,implied,medium
hxvtvwv,2,4,mentioned,high
hxvutvg,2,4,implied,medium
hxvva3p,2,3,implied,high
hxvxox3,2,2,implied,medium
hxvy2zf,2,4,implied,medium
hxvzkmi,2,1,implied,medium
hxvzsmx,2,4,implied,high
hxw0c1j,2,1,mentioned,medium
hxw0ffg,2,4,implied,medium
hxw751f,2,4,mentioned,medium
hxw8aio,2,1,mentioned,medium
hxw9un2,2,3,implied,medium
hxwaq5r,2,1,mentioned,high
hxwaq5r,2,4,strong,medium
hxwcb2i,2,4,mentioned,medium
hxwe84n,2,1,implied,high
hxwridy,2,1,implied,medium
hxx4ng3,2,4,mentioned,high
hxxbjzv,2,4,mentioned,high
hxxcx8q,2,3,implied,high
hxxdnrq,2,4,implied,medium
hxxg0kp,2,1,implied,medium
hxxgn3o,2,4,mentioned,medium
hxxy6i3,2,1,strong,high
hxxy6uo,2,1,strong,high
hxxyvjt,2,1,implied,medium
hxy0w0p,2,1,rejected,medium
hxyqtu9,2,1,implied,high
hxzt85b,2,1,mentioned,medium
hy09ou4,2,1,implied,high
hy0b1tp,2,4,implied,high
hy0q2kn,2,3,implied,medium
hy1102j,2,1,strong,high
hy1luib,2,4,implied,medium
hy234jp,2,1,strong,high
hy244pp,2,4,implied,medium
hy25d39,2,4,strong|implied|mentioned|rejected,high
hy31x6y,2,1,mentioned,medium
hy3ajip,2,1,mentioned,medium
hy3eytk,2,1,mentioned,high
