comment_id,episode,scene_id,confidence
hxik3bc,2,4,high
hxj1c1c,2,5,medium
hxj60m2,2,1,high
hxj60m2,2,2,high
hxjih1p,2,1,medium
hxjke2v,2,4,high
hxjkxoe,2,4,high
hxjm3ow,2,3,high
hxjnd1v,2,4,medium
hxjodqi,2,5,high
hxjqs2l,2,3,high
hxk10pm,2,1,high
hxk10pm,2,4,medium
hxljm1l,2,2,high
hxlq17e,2,2,high
hxlqls0,2,4,high
hxm0le5,2,2,high
hxmj37t,2,2,high
hxn8ui2,2,5,medium
hxnefud,2,2,high
hxnh1ly,2,3,high
hxoac5c,2,2,high
hxoagq9,2,1,medium
hxoangg,2,1,high
hxoaw01,2,4,high
hxob8y7,2,5,high
hxof5m0,2,2,high
hxorw6o,2,4,high
hxorw6o,2,5,high
hxoulb3,2,1,high
hxox42p,2,3,high
hxoxcol,2,2,high
hxpuskb,2,4,high
hxpxi6a,2,2,high
hxqnz1d,2,2,high
hxqsw27,2,1,high
hxqsw27,2,5,medium
hxqw639,2,5,high
hxrhtf1,2,4,medium
hxrm4sr,2,1,medium
hxs12eh,2,2,high
hxs22c0,2,3,medium
hxs2otq,2,5,high
hxsajrf,2,2,medium
hxsebvg,2,4,medium
hxsebvg,2,3,high
hxsfcpl,2,2,high
hxsj0q1,2,4,high
hxtcxlq,2,2,high
hxtde63,2,2,high
hxte9wu,2,1,medium
hxtsk0j,2,1,medium
hxtt65j,2,3,high
hxtt65j,2,1,medium
hxuoixm,2,2,high
hxupkvk,2,2,high
hxuq5k9,2,1,high
hxurqt2,2,1,medium
hxvhu5i,2,2,high
hxvsiyi,2,1,medium
hxvva3p,2,2,high
hxvxox3,2,5,high
hxw0c1j,2,2,high
hxw0ffg,2,2,high
hxw69q7,2,3,high
hxw9un2,2,2,high
hxwaq5r,2,5,medium
hxxcx8q,2,3,high
hxxgn3o,2,2,high
hxy0w0p,2,2,high
hy054d9,2,3,high
hy09ou4,2,2,high
hy0q2kn,2,3,high
hy0r9o5,2,4,medium
hy244pp,2,1,medium
hy25d39,2,3,high
hy3ajip,2,4,medium
hy3eytk,2,4,high
hy3ouww,2,2,high
hy3spqk,2,2,high
hy4h494,2,2,high
hy5932s,2,4,medium
hy59dqi,2,2,high
hy5as35,2,4,medium
hy5fija,2,2,high
hy5gsky,2,5,medium
hy5i5nb,2,3,high
hy5ipj9,2,2,high
hy5j0tv,2,2,high
hy5p0zx,2,4,high
hy5qhzn,2,2,high
hy5rhxd,2,5,medium
hy71azs,2,2,high
hy771oq,2,2,high
hy7mc9g,2,5,high
hy7o35k,2,2,high
hy7oiad,2,2,high
hy7pc7e,2,5,high
hy7t2js,2,2,high
hyl9b6l,2,5,high
hym7c1z,2,2,high
hypcebz,2,3,high
i51uz9h,2,4,medium
i5ice92,2,3,high
i5iorep,2,2,high
i7dpjml,2,2,high
i87or1p,2,2,high
if14gtm,2,2,high
imh14eb,2,2,high
ip5rttt,2,2,high
ipxjv0k,2,5,high
it1qgt7,2,2,high
iubf1xi,2,2,high
iubfr1z,2,2,high
hyc22ol,3,2,high
hyc2krq,3,2,high
hyc2krq,3,1,high
hyc43yf,3,1,medium
hyc43yf,3,3,medium
hyc46wf,3,4,high
hyc53bv,3,1,high
hyc57fz,3,5,high
hyc79uw,3,1,high
hyc8csr,3,3,high
hyc8zv1,3,1,high
hycaa24,3,2,high
hycdbuy,3,2,high
hycdhh1,3,2,high
hyce24o,3,2,high
hycexlq,3,3,medium
hycfeg4,3,3,high
hyciifu,3,2,high
hyclio0,3,4,high
hycmrqq,3,4,medium
hycmrwe,3,5,high
hycpuxy,3,4,medium
hycq4l5,3,5,medium
hycqw7b,3,2,high
hycs7ge,3,3,high
hycu2x7,3,2,high
hycu2x7,3,3,medium
hycu3r0,3,2,high
hycub1q,3,2,high
hycwh26,3,3,medium
hycxhbd,3,2,high
hycycka,3,2,high
hyd1z71,3,1,high
hyd303u,3,2,high
hyd38rx,3,2,high
hyd3qcc,3,3,high
hyd6sdr,3,5,medium
hyde6us,3,4,medium
hydekct,3,2,high
hydgjga,3,1,high
hydpmfi,3,2,high
hye0bar,3,4,medium
hye1inx,3,2,high
hye3iof,3,2,high
hye4l7k,3,3,high
hye5r9h,3,2,high
hye6a9b,3,3,high
hyehqcd,3,1,high
hyejd27,3,2,high
hyemlf2,3,1,high
hyeoyfq,3,2,high
hyepfjg,3,3,high
hyeva3q,3,2,high
hyf01pe,3,2,high
hyf05xt,3,2,high
hyf2fbu,3,3,medium
hyf2fbu,3,4,medium
hyf2mup,3,1,high
hyf3gnr,3,2,high
hyf7ryi,3,2,high
hyf8asu,3,3,high
hyf9xe3,3,2,high
hyfa3uu,3,2,high
hyfe609,3,3,high
hyfydui,3,2,high
hyg05f9,3,4,high
hyg2ela,3,4,medium
hyg4zai,3,2,high
hyg88aw,3,5,high
hygetlg,3,2,high
hygetlg,3,3,high
hyggi69,3,2,high
hygi0e6,3,1,high
hygpsyq,3,3,high
hygrpr6,3,2,high
hygsilo,3,3,high
hygtixn,3,2,high
hygx7bw,3,2,high
hyh0r3c,3,2,high
hyh118y,3,3,high
hyh118y,3,4,medium
hyh1t81,3,3,high
hyh310n,3,2,high
hyh34ey,3,2,high
hyh38wy,3,2,high
hyh4ar9,3,2,high
hyh6ubg,3,2,high
hyhco3k,3,3,high
hyhdjkp,3,5,high
hyhj1kp,3,2,high
hyhnm1z,3,2,high
hyhqhor,3,3,medium
hyhs548,3,2,high
hyhs8yk,3,3,high
hyhsm48,3,2,high
hyhswu5,3,2,high
hyht0lg,3,3,high
hyhuct3,3,1,medium
hyhyzfj,3,2,high
hyhzkwr,3,2,high
hyi3ret,3,2,high
hyi4ek2,3,2,high
hyibjvr,3,2,high
hyij4ge,3,3,medium
hyiu5c6,3,4,high
hyiukef,3,3,high
hyixfn7,3,2,high
hyj6tn2,3,2,high
hyj88ck,3,3,high
hyjfx8b,3,4,medium
hyjmxr7,3,5,medium
hyjndpt,3,2,high
hyjwgas,3,2,high
hyk45y8,3,3,high
hyk71en,3,2,high
hykaa9q,3,1,high
hykddj1,3,1,high
hykfnzl,3,2,high
hykg5rc,3,2,high
hyki31y,3,2,high
hykpgcv,3,3,medium
hykwyvu,3,1,high
hykzwc0,3,2,high
hyl70hh,3,3,high
hyldhfp,3,3,high
hyldifo,3,1,high
hyldifo,3,2,high
hyll5m2,3,4,medium
hymqt6j,3,2,high
hyn7avq,3,2,high
hynwu36,3,2,high
hynxj2w,3,4,medium
hypo4o1,3,2,high
hyq8xi6,3,2,high
hyqq569,3,3,medium
hyqy67t,3,1,high
hyrf5fs,3,1,high
