comment_id,episode,sentiment,intensity
hxi652o,2,worried,
hxi652o,2,hopeful,
hxib7sa,2,confused,
hxib7sa,2,impressed,
hxibfwe,2,confused,
hxibfwe,2,impressed,
hxibsw3,2,confused,
hxibsw3,2,shocked,
hxibsw3,2,suspicious,
hxik3bc,2,excited,
hxik3bc,2,impressed,
hxj1c1c,2,confused,
hxj60m2,2,confused,
hxj60m2,2,curious,
hxj60m2,2,concerned,
hxj7p1n,2,chilling,
hxjih1p,2,confused,
hxjih1p,2,amused,
hxjkazj,2,confused,
hxjkazj,2,impressed,
hxjke2v,2,amused,
hxjkpqx,2,confused,
hxjkxoe,2,amused,
hxjl2nh,2,confused,
hxjlawz,2,confused,
hxjm3ow,2,confused,
hxjn0yd,2,confused,
hxjn0yd,2,impressed,
hxjnd1v,2,excited,
hxjnd1v,2,confused,
hxjodqi,2,sad,
hxjodqi,2,confused,
hxjqs2l,2,amused,
hxk10pm,2,confused,
hxk10pm,2,amused,
hxk4nrz,2,confused,
hxk7hcl,2,confused,
hxk7hcl,2,shocked,
hxkqrva,2,confused,
hxkqrva,2,amused,
hxlh17r,2,impressed,
hxlh17r,2,confused,
hxlh17r,2,scared,
hxljm1l,2,confused,
hxljm1l,2,impressed,
hxlq17e,2,confused,
hxlqls0,2,uncomfortable,
hxltgut,2,confused,
hxltgut,2,concerned,
hxm0le5,2,confused,
hxm0le5,2,impressed,
hxmj37t,2,confused,
hxmj37t,2,intrigued,
hxmoyky,2,confused,
hxmoyky,2,impressed,
hxmsel7,2,confused,
hxmu7n4,2,impressed,
hxn779c,2,excited,
hxn779c,2,amused,
hxn7gr1,2,confused,
hxn7gr1,2,annoyed,
hxn8ui2,2,confused,
hxn8ui2,2,scared,
hxn9qss,2,confused,
hxndxnb,2,confused,
hxndxnb,2,impressed,
hxnefud,2,confused,
hxnefud,2,impressed,
hxnh1ly,2,confused,
hxnh1ly,2,impressed,
hxnwf56,2,excited,
hxnwf56,2,scared,
hxnxtz3,2,confused,
hxnz7qf,2,confused,
hxnz7qf,2,impressed,
hxnzq92,2,impressed,
hxnzq92,2,confused,
hxo2sz3,2,confused,
hxo2sz3,2,impressed,
hxo2y2s,2,confused,
hxo61l9,2,confused,
hxo61l9,2,shocked,
hxoac5c,2,confused,
hxoac5c,2,scared,
